first_name,last_name,nickname,player_country,player_continent,player_total_prize,game,game_genre
Peter,Rasmussen,dupreeh,Denmark,Europe,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter
Andreas,Højsleth,Xyp9x,Denmark,Europe,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter
Nicolai,Reedtz,dev1ce,Denmark,Europe,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter
Lukas,Rossander,gla1ve,Denmark,Europe,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter
Emil,Reif,Magisk,Denmark,Europe,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter
Jakey,Yip,Stewie2k,United States of America,North America,1087340,Counter-Strike: Global Offensive,First-Person Shooter
Epitácio,de Melo,TACO,Brazil,South America,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter
Fernando,Alvarenga,fer,Brazil,South America,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter
Gabriel,Toledo,FalleN,Brazil,South America,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter
Marcelo,David,coldzera,Brazil,South America,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter
Keith,Markovic,NAF,Canada,North America,982765.66,Counter-Strike: Global Offensive,First-Person Shooter
Finn,Andersen,karrigan,Denmark,Europe,964635.39,Counter-Strike: Global Offensive,First-Person Shooter
Jonathan,Jablonowski,ELiGE,United States of America,North America,930696.42,Counter-Strike: Global Offensive,First-Person Shooter
Nick,Cannella,nitr0,United States of America,North America,920151.73,Counter-Strike: Global Offensive,First-Person Shooter
Jesper,Wecksell,JW,Sweden,Europe,897760.68,Counter-Strike: Global Offensive,First-Person Shooter
Olof,Kajbjer,olofmeister,Sweden,Europe,880011.52,Counter-Strike: Global Offensive,First-Person Shooter
Robin,Rönnquist,flusha,Sweden,Europe,877668.95,Counter-Strike: Global Offensive,First-Person Shooter
Freddy,Johansson,KRiMZ,Sweden,Europe,867823.34,Counter-Strike: Global Offensive,First-Person Shooter
Russel,Van Dulken,Twistzz,Canada,North America,835376.43,Counter-Strike: Global Offensive,First-Person Shooter
Dan,Madesclaire,apEX,France,Europe,814852.39,Counter-Strike: Global Offensive,First-Person Shooter
Nathan,Schmitt,NBK,France,Europe,805444.66,Counter-Strike: Global Offensive,First-Person Shooter
Ladislav,Kovács,GuardiaN,Slovakia,Europe,798520.8,Counter-Strike: Global Offensive,First-Person Shooter
Tarik,Celik,tarik,United States of America,North America,780039.21,Counter-Strike: Global Offensive,First-Person Shooter
Håvard,Nygaard,rain,Norway,Europe,763799.57,Counter-Strike: Global Offensive,First-Person Shooter
Nikola,Kovač,NiKo,Bosnia and Herzegovina,Europe,762802.56,Counter-Strike: Global Offensive,First-Person Shooter
Egor,Vasilyev,flamie,Russia,Europe,732920.07,Counter-Strike: Global Offensive,First-Person Shooter
Kenny,Schrub,kennyS,France,Europe,713086.68,Counter-Strike: Global Offensive,First-Person Shooter
Daniil,Teslenko,Zeus,Ukraine,Europe,689568.7,Counter-Strike: Global Offensive,First-Person Shooter
Alexander,Kostylev,s1mple,Ukraine,Europe,677155.31,Counter-Strike: Global Offensive,First-Person Shooter
Richard,Papillon,shox,France,Europe,660640.55,Counter-Strike: Global Offensive,First-Person Shooter
Janusz,Pogorzelski,snax,Poland,Europe,653938.44,Counter-Strike: Global Offensive,First-Person Shooter
Markus,Kjærbye,Kjaerbye,Denmark,Europe,617000.5,Counter-Strike: Global Offensive,First-Person Shooter
Ioann,Sukharev,Edward,Ukraine,Europe,613854.6,Counter-Strike: Global Offensive,First-Person Shooter
Filip,Kubski,neo,Poland,Europe,606880.52,Counter-Strike: Global Offensive,First-Person Shooter
Chris,de Jong,chrisJ,Netherlands,Europe,596748.79,Counter-Strike: Global Offensive,First-Person Shooter
Wiktor,Wojtas,TaZ,Poland,Europe,591510.89,Counter-Strike: Global Offensive,First-Person Shooter
Will,Wierzba,Rush,United States of America,North America,586616,Counter-Strike: Global Offensive,First-Person Shooter
Jarosław,Jarząbkowski,pashaBiceps,Poland,Europe,577382.35,Counter-Strike: Global Offensive,First-Person Shooter
Paweł,Bieliński,byali,Poland,Europe,574103.56,Counter-Strike: Global Offensive,First-Person Shooter
Patrik,Lindberg,f0rest,Sweden,Europe,547205.97,Counter-Strike: Global Offensive,First-Person Shooter
Denis,Sharipov,electroNic,Russia,Europe,531541.99,Counter-Strike: Global Offensive,First-Person Shooter
Christopher,Alesund,GeT_RiGhT,Sweden,Europe,517888.39,Counter-Strike: Global Offensive,First-Person Shooter
Richard,Landström,Xizt,Sweden,Europe,513805.74,Counter-Strike: Global Offensive,First-Person Shooter
Robin,Kool,ropz,Estonia,Europe,506010.74,Counter-Strike: Global Offensive,First-Person Shooter
Cédric,Guipouy,RpK,France,Europe,498887.62,Counter-Strike: Global Offensive,First-Person Shooter
Vincent,Schopenhauer,Happy,France,Europe,485910.46,Counter-Strike: Global Offensive,First-Person Shooter
Peter,Jarguz,stanislaw,Canada,North America,481487.38,Counter-Strike: Global Offensive,First-Person Shooter
Jonas,Olofsson,Lekr0,Sweden,Europe,464499.26,Counter-Strike: Global Offensive,First-Person Shooter
Timothy,Ta,autimatic,United States of America,North America,449799.56,Counter-Strike: Global Offensive,First-Person Shooter
Maikil,Selim,Golden,Sweden,Europe,448642.48,Counter-Strike: Global Offensive,First-Person Shooter
Tyler,Latham,Skadoodle,United States of America,North America,437479.98,Counter-Strike: Global Offensive,First-Person Shooter
Aleksi,Jalli,allu,Finland,Europe,418492.59,Counter-Strike: Global Offensive,First-Person Shooter
Renè,Borg,cajunb,Denmark,Europe,417465.86,Counter-Strike: Global Offensive,First-Person Shooter
Dauren,Kystaubayev,AdreN,Kazakhstan,Asia,414305.65,Counter-Strike: Global Offensive,First-Person Shooter
Adam,Friberg,friberg,Sweden,Europe,407662.41,Counter-Strike: Global Offensive,First-Person Shooter
Kristian,Wienecke,k0nfig,Denmark,Europe,403005.81,Counter-Strike: Global Offensive,First-Person Shooter
Vincent,Cayonte,Brehze,United States of America,North America,391973.94,Counter-Strike: Global Offensive,First-Person Shooter
Ethan,Arnold,nahtE,United States of America,North America,389680.38,Counter-Strike: Global Offensive,First-Person Shooter
Lincoln,Lau,fnx,Brazil,South America,387551.81,Counter-Strike: Global Offensive,First-Person Shooter
